match_id,home,away,fact_type,value,numeric_value,team,player,source_title,source_url,source_domain,confidence,extracted_at
537335,Switzerland,Bosnia-Herzegovina,market_consensus,Switzerland vs. Bosnia-Herzegovina Prediction June 18 - Lines.com Switzerland: Unbeaten form and surging market momentum confirm them as the first-to-score favorite. Switzerland enters this World Cup Group B clash with a 68 percent market p,,,,Switzerland vs. Bosnia-Herzegovina Prediction June 18 - Lines.com,https://www.lines.com/prediction-markets/sports/fifwc-che-bih-2026-06-18-first-to-score,lines.com,0.35,2026-06-18T18:41:35.470426+00:00
537335,Switzerland,Bosnia-Herzegovina,source_note,Switzerland vs. Bosnia-Herzegovina Prediction June 18 - Lines.com Switzerland: Unbeaten form and surging market momentum confirm them as the first-to-score favorite. Switzerland enters this World Cup Group B clash with a 68 percent market p,,,,Switzerland vs. Bosnia-Herzegovina Prediction June 18 - Lines.com,https://www.lines.com/prediction-markets/sports/fifwc-che-bih-2026-06-18-first-to-score,lines.com,0.35,2026-06-18T18:41:35.470653+00:00
537335,Switzerland,Bosnia-Herzegovina,market_consensus,"Bosnia-Herzegovina World Cup 2026: Odds & Picks | Squawka # Bosnia-Herzegovina World Cup Odds: Squad, Path to the Final & Top Picks. **Bosnia-Herzegovina drew 1-1 with Canada at the BMO Field in their 2026 World Cup opener.** The point keep",,,,Bosnia-Herzegovina World Cup 2026: Odds & Picks | Squawka,https://www.squawka.com/us/outright-markets/bosnia-herzegovina-world-cup-2026-odds,squawka.com,0.7,2026-06-18T18:41:35.471188+00:00
537335,Switzerland,Bosnia-Herzegovina,market_consensus,"Switzerland vs Bosnia-Herzegovina prediction - Oddspedia The model gives Bosnia and Herzegovina or draw a 49.8% probability, compared with 41.49% implied by the betting odds, creating a positive expected value edge of",,,,Switzerland vs Bosnia-Herzegovina prediction - Oddspedia,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001/predictions,oddspedia.com,0.35,2026-06-18T18:41:35.471825+00:00
537335,Switzerland,Bosnia-Herzegovina,source_note,"Switzerland vs Bosnia-Herzegovina prediction - Oddspedia The model gives Bosnia and Herzegovina or draw a 49.8% probability, compared with 41.49% implied by the betting odds, creating a positive expected value edge of",,,,Switzerland vs Bosnia-Herzegovina prediction - Oddspedia,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001/predictions,oddspedia.com,0.35,2026-06-18T18:41:35.472223+00:00
537335,Switzerland,Bosnia-Herzegovina,market_consensus,"World Cup Group B odds 2026: winner prices and standings - AL.com # World Cup Group B odds for 2026: Latest Canada, Switzerland, Bosnia, Qatar standings. Group B at the 2026 World Cup brings together co-host Canada, Switzerland, Bosnia and ",,,,World Cup Group B odds 2026: winner prices and standings - AL.com,https://www.al.com/betting/world-cup-group-b-odds,al.com,0.35,2026-06-18T18:41:35.472977+00:00
537335,Switzerland,Bosnia-Herzegovina,source_note,"World Cup Group B odds 2026: winner prices and standings - AL.com # World Cup Group B odds for 2026: Latest Canada, Switzerland, Bosnia, Qatar standings. Group B at the 2026 World Cup brings together co-host Canada, Switzerland, Bosnia and ",,,,World Cup Group B odds 2026: winner prices and standings - AL.com,https://www.al.com/betting/world-cup-group-b-odds,al.com,0.35,2026-06-18T18:41:35.473284+00:00
537335,Switzerland,Bosnia-Herzegovina,market_consensus,FIFA World Cup Odds & Win Probability 2026: Favorites & Analysis * [World Cup](https://www.covers.com/betting/world-cup-sites). * [Sportsbook Promos](https://www.covers.com/betting/bonuses). * [World Cup 2026 Odds](https://www.covers.com/wo,,,,FIFA World Cup Odds & Win Probability 2026: Favorites & Analysis,https://www.covers.com/world-cup/odds,covers.com,0.35,2026-06-18T18:41:35.474915+00:00
537335,Switzerland,Bosnia-Herzegovina,source_note,FIFA World Cup Odds & Win Probability 2026: Favorites & Analysis * [World Cup](https://www.covers.com/betting/world-cup-sites). * [Sportsbook Promos](https://www.covers.com/betting/bonuses). * [World Cup 2026 Odds](https://www.covers.com/wo,,,,FIFA World Cup Odds & Win Probability 2026: Favorites & Analysis,https://www.covers.com/world-cup/odds,covers.com,0.35,2026-06-18T18:41:35.475442+00:00
537335,Switzerland,Bosnia-Herzegovina,market_consensus,"Group B Preview: Canada, Bosnia & Herzegovina, Qatar, Switzerland Group B Preview: Canada, Bosnia & Herzegovina, Qatar, Switzerland. ## Alexi Lalas and David Mosse continue their World Cup Previews, this time diving into co-host Canada’s gr",,,,"Group B Preview: Canada, Bosnia & Herzegovina, Qatar, Switzerland",https://www.foxsports.com/watch/fmc-ass7mf140m63jo3v,foxsports.com,0.35,2026-06-18T18:41:35.481852+00:00
